Postcode Sector,LSOA11CD,IMD_Decile,Latitude,Longitude
EC1A4,E01000001,9.0,51.51800736858096,-0.0967729486154735
EC1A7,E01000001,9.0,51.51800736858096,-0.0967729486154735
EC1M6,E01000001,9.0,51.51800736858096,-0.0967729486154735
EC2V6,E01000001,9.0,51.51800736858096,-0.0967729486154735
EC2Y8,E01000001,9.0,51.51800736858096,-0.0967729486154735
EC2V7,E01000002,10.0,51.51821322791715,-0.0925484796653089
EC2Y5,E01000002,10.0,51.51821322791715,-0.0925484796653089
EC2Y8,E01000002,10.0,51.51821322791715,-0.0925484796653089
EC1Y0,E01000003,5.0,51.52172305664712,-0.0958133903743663
EC2Y8,E01000003,5.0,51.52172305664712,-0.0958133903743663
E1  7,E01000005,3.0,51.51354817280888,-0.0758138489321084
E1  8,E01000005,3.0,51.51354817280888,-0.0758138489321084
EC2M4,E01000005,3.0,51.51354817280888,-0.0758138489321084
EC3A7,E01000005,3.0,51.51354817280888,-0.0758138489321084
EC3N1,E01000005,3.0,51.51354817280888,-0.0758138489321084
EC3N2,E01000005,3.0,51.51354817280888,-0.0758138489321084
IG119,E01000006,5.0,51.538977273358775,0.0884406717128977
IG118,E01000007,3.0,51.54043871340071,0.0770609913674573
IG118,E01000008,2.0,51.54009810013103,0.0697026370398624
IG118,E01000009,3.0,51.54049980556961,0.0837269754105651
IG119,E01000009,3.0,51.54049980556961,0.0837269754105651
IG117,E01000010,3.0,51.536515045297456,0.079832443577575
IG118,E01000010,3.0,51.536515045297456,0.079832443577575
IG118,E01000011,3.0,51.54308181232328,0.0806727131865944
IG118,E01000012,2.0,51.54299470416386,0.0739573207073542
RM108,E01000013,2.0,51.5431803075005,0.1468275636843244
RM9 5,E01000013,2.0,51.5431803075005,0.1468275636843244
RM108,E01000014,2.0,51.54354040236293,0.139804520752734
RM9 5,E01000014,2.0,51.54354040236293,0.139804520752734
RM108,E01000015,2.0,51.54442594853469,0.1558405194314384
RM107,E01000016,3.0,51.549359269858215,0.1519774507208179
RM108,E01000016,3.0,51.549359269858215,0.1519774507208179
RM9 5,E01000016,3.0,51.549359269858215,0.1519774507208179
RM107,E01000017,2.0,51.54934678098246,0.1461818082710004
RM108,E01000017,2.0,51.54934678098246,0.1461818082710004
RM9 5,E01000017,2.0,51.54934678098246,0.1461818082710004
RM108,E01000018,2.0,51.54653085872072,0.1520718742172655
RM8 2,E01000019,2.0,51.55822471765354,0.1205474633827085
RM8 2,E01000020,2.0,51.55626303739204,0.1247097337894231
RM8 3,E01000020,2.0,51.55626303739204,0.1247097337894231
RM8 2,E01000021,2.0,51.55446799349547,0.1160363307353618
RM8 2,E01000022,2.0,51.55402965849939,0.1210750694373457
IG119,E01000023,2.0,51.55167068930823,0.112432184893724
RM8 2,E01000023,2.0,51.55167068930823,0.112432184893724
RM8 2,E01000024,3.0,51.55119583551651,0.1207491160902433
RM8 2,E01000025,2.0,51.54937047236131,0.1179886701987084
RM5 2,E01000027,2.0,51.59087953921033,0.1419013843802526
RM6 5,E01000027,2.0,51.59087953921033,0.1419013843802526
RM6 5,E01000028,2.0,51.58510704439155,0.1294787893585528
RM6 5,E01000029,4.0,51.58029868182639,0.1342590786493072
RM6 6,E01000029,4.0,51.58029868182639,0.1342590786493072
RM6 5,E01000030,2.0,51.58340122160549,0.1366190342745738
RM6 6,E01000030,2.0,51.58340122160549,0.1366190342745738
RM6 5,E01000031,4.0,51.58031062575882,0.1439992072794161
RM6 6,E01000031,4.0,51.58031062575882,0.1439992072794161
RM6 4,E01000032,3.0,51.574646901301904,0.1339217438691757
RM6 6,E01000032,3.0,51.574646901301904,0.1339217438691757
RM107,E01000033,2.0,51.55488748260242,0.1628566347267877
RM107,E01000034,2.0,51.55712770322665,0.1714885448358161
RM7 0,E01000034,2.0,51.55712770322665,0.1714885448358161
RM107,E01000035,4.0,51.54965483201537,0.1628512730105783
RM108,E01000036,5.0,51.54619627325202,0.1680701175791348
RM7 0,E01000037,5.0,51.56252599008628,0.1795081689136253
RM7 0,E01000038,5.0,51.5631606822945,0.1730368809319727
RM7 0,E01000039,4.0,51.55275445909809,0.1787427996978981
IG117,E01000040,2.0,51.53662632573131,0.097439372130552
IG119,E01000040,2.0,51.53662632573131,0.097439372130552
RM9 4,E01000041,3.0,51.53815189964918,0.1161010952872213
IG119,E01000042,2.0,51.53727791915482,0.1067574266149268
IG119,E01000043,3.0,51.53388747989547,0.1000143627942479
IG117,E01000044,3.0,51.53602730124487,0.0902728583510865
IG119,E01000045,2.0,51.53465510133797,0.1105885877367317
RM9 4,E01000045,2.0,51.53465510133797,0.1105885877367317
RM9 4,E01000046,3.0,51.53655268389664,0.1199193714765237
IG117,E01000048,1.0,51.53160305369625,0.083555497780501
IG117,E01000049,2.0,51.53043968857981,0.0862953746991398
IG117,E01000050,2.0,51.534523953161234,0.085942157520993
IG117,E01000051,2.0,51.534288345086985,0.082302541168663
IG117,E01000052,2.0,51.53224928772138,0.0931052411470285
RM9 6,E01000053,2.0,51.53273583285644,0.1438489575476486
RM9 6,E01000054,3.0,51.53668590861757,0.1324054223509316
RM9 4,E01000055,3.0,51.535854752416725,0.1262611692090926
RM9 6,E01000055,3.0,51.535854752416725,0.1262611692090926
RM9 6,E01000056,2.0,51.53414781903444,0.1371133003291066
RM9 4,E01000057,3.0,51.53808157519434,0.1266447916398744
RM9 6,E01000057,3.0,51.53808157519434,0.1266447916398744
RM9 6,E01000058,3.0,51.53958715197575,0.136007250819712
RM9 6,E01000059,3.0,51.53635771402472,0.1417353242013246
RM107,E01000060,2.0,51.55811470137736,0.1573000983084175
RM107,E01000061,1.0,51.56198398596965,0.1579560848136627
RM8 1,E01000061,1.0,51.56198398596965,0.1579560848136627
RM107,E01000062,3.0,51.55378985651052,0.1521039148818413
RM107,E01000063,2.0,51.55608495906921,0.1456504629602881
RM8 3,E01000063,2.0,51.55608495906921,0.1456504629602881
RM9 5,E01000063,2.0,51.55608495906921,0.1456504629602881
RM107,E01000064,2.0,51.55355225028905,0.1574403430764237
RM107,E01000065,2.0,51.55261195990475,0.1436331201323664
RM9 5,E01000065,2.0,51.55261195990475,0.1436331201323664
IG119,E01000066,4.0,51.54631971220857,0.1059071368687304
IG118,E01000067,5.0,51.54709776620983,0.1009521921850532
IG119,E01000067,5.0,51.54709776620983,0.1009521921850532
IG118,E01000068,4.0,51.54263605645125,0.0879461789678189
IG119,E01000068,4.0,51.54263605645125,0.0879461789678189
IG119,E01000069,6.0,51.54304060535738,0.0999587736272865
IG118,E01000070,5.0,51.54491053081608,0.0921137976783283
IG119,E01000070,5.0,51.54491053081608,0.0921137976783283
IG119,E01000071,5.0,51.539785351110304,0.0996783400370391
RM8 2,E01000072,2.0,51.54212636230282,0.110953395507029
RM9 4,E01000072,2.0,51.54212636230282,0.110953395507029
